synapse_id,pre_neuron_id,post_neuron_id,pre_gc_id,post_gc_id,is_axosomatic,size_um2,distance_mm,attenuation,effective_weight,c_bar,sigma_stab,pre_morphology,post_morphology
82,b0ce6adc-3f6f-4ff8-9b66-0a569c36e49b,d3d238ca-e750-4c2d-a21b-9b6794143385,758,148,false,0.049096586990589275,0.2880000000000002,0.38289288597511173,0.018798733884354855,0.0,0.0,generic,generic
71,b0ce6adc-3f6f-4ff8-9b66-0a569c36e49b,d3d238ca-e750-4c2d-a21b-9b6794143385,949,148,false,0.04905419759757492,0.22800000000000015,0.46766642700990896,0.022941001320295924,0.0,0.0,generic,generic
208,bc5fc0ad-78cd-4775-bb9e-b0e73d32d40c,d3d238ca-e750-4c2d-a21b-9b6794143385,515,148,false,0.049185456524420954,0.4020000000000003,0.26184566858032576,0.012878998748065551,0.0,0.0,generic,generic
521,2cc94e3c-a36d-481e-bfc7-ec2a45283ccd,d3d238ca-e750-4c2d-a21b-9b6794143385,1492,147,true,0.04961103399520401,0.001,0.9966722160545233,0.04944593919275627,0.0,0.0,generic,generic
26,a2130b83-6c1f-4a0f-8edf-19eda32111c7,d3d238ca-e750-4c2d-a21b-9b6794143385,600,148,false,0.04900419531749104,0.15300000000000008,0.6004955788122658,0.029426802631406106,0.0,0.0,generic,generic
127,bc5fc0ad-78cd-4775-bb9e-b0e73d32d40c,d3d238ca-e750-4c2d-a21b-9b6794143385,907,148,false,0.04915644199857136,0.36600000000000027,0.29523016692401394,0.014512464576628832,0.0,0.0,generic,generic
571,5a98df98-49c8-409a-b9cc-29c578c7bb25,d3d238ca-e750-4c2d-a21b-9b6794143385,1161,148,false,0.0496543916573451,1.0979999999999972,0.025732512726360183,0.0012777322652423057,0.0,0.0,generic,generic
565,b0ce6adc-3f6f-4ff8-9b66-0a569c36e49b,8cb7e6e8-ec01-4342-990f-0b4a67b21158,1622,150,false,0.04964650280992723,0.15900000000000009,0.588604969678355,0.029222178281073583,0.0,0.0,generic,generic
799,bc5fc0ad-78cd-4775-bb9e-b0e73d32d40c,d3d238ca-e750-4c2d-a21b-9b6794143385,2169,148,false,0.0499960001599968,1.6049999999999789,0.004748150999411811,0.00023738855812628184,0.0,0.0,generic,generic
767,5a98df98-49c8-409a-b9cc-29c578c7bb25,8cb7e6e8-ec01-4342-990f-0b4a67b21158,959,150,false,0.04996602174651697,0.6300000000000004,0.12245642825298174,0.006118660557089281,0.0,0.0,generic,generic
389,bc5fc0ad-78cd-4775-bb9e-b0e73d32d40c,d3d238ca-e750-4c2d-a21b-9b6794143385,1464,148,false,0.049440313390284645,0.7860000000000006,0.07280286282743545,0.003599396353898313,0.0,0.0,generic,generic
295,a2130b83-6c1f-4a0f-8edf-19eda32111c7,e3657648-24c2-49ea-aba3-8c2d4e84777f,846,151,true,0.049268821653845496,0.001,0.9966722160545233,0.04910486566013327,0.0,0.0,generic,generic
57,b0ce6adc-3f6f-4ff8-9b66-0a569c36e49b,d3d238ca-e750-4c2d-a21b-9b6794143385,1081,148,false,0.04904649829826557,0.21600000000000014,0.4867522559599714,0.023873493693617666,0.0,0.0,generic,generic
619,bc5fc0ad-78cd-4775-bb9e-b0e73d32d40c,d3d238ca-e750-4c2d-a21b-9b6794143385,1868,148,false,0.04970770702498248,1.1759999999999944,0.01984109474437066,0.0009862553246080964,0.0,0.0,generic,generic
475,1d937a0a-1d3b-4853-aba6-2ab7a8b63234,d3d238ca-e750-4c2d-a21b-9b6794143385,1474,148,false,0.04956382100398233,0.9630000000000007,0.04035661327203104,0.002000227956541884,0.0,0.0,generic,generic
511,0f960723-5f75-4e64-946c-37d2bc4098da,d3d238ca-e750-4c2d-a21b-9b6794143385,1753,148,false,0.04960512745279502,1.023,0.033041200375886946,0.0016390129558392108,0.0,0.0,generic,generic
397,82be0088-d913-4847-821b-f1abd03e1d99,d3d238ca-e750-4c2d-a21b-9b6794143385,1566,148,false,0.04944422480575069,0.7920000000000006,0.07136126955638593,0.0035284026543697185,0.0,0.0,generic,generic
129,bc5fc0ad-78cd-4775-bb9e-b0e73d32d40c,d3d238ca-e750-4c2d-a21b-9b6794143385,944,148,false,0.04915644199857136,0.36600000000000027,0.29523016692401394,0.014512464576628832,0.0,0.0,generic,generic
78,b0ce6adc-3f6f-4ff8-9b66-0a569c36e49b,d3d238ca-e750-4c2d-a21b-9b6794143385,1165,148,false,0.049085018983132826,0.2700000000000002,0.40656965974059883,0.01995647946633315,0.0,0.0,generic,generic
764,0f960723-5f75-4e64-946c-37d2bc4098da,8cb7e6e8-ec01-4342-990f-0b4a67b21158,2149,150,false,0.04996602174651697,0.6300000000000004,0.12245642825298174,0.006118660557089281,0.0,0.0,generic,generic
133,2cc94e3c-a36d-481e-bfc7-ec2a45283ccd,d3d238ca-e750-4c2d-a21b-9b6794143385,996,147,true,0.04915837523525598,0.001,0.9966722160545233,0.048994786783362373,0.0,0.0,generic,generic
72,b0ce6adc-3f6f-4ff8-9b66-0a569c36e49b,d3d238ca-e750-4c2d-a21b-9b6794143385,971,148,false,0.04905419759757492,0.22800000000000015,0.46766642700990896,0.022941001320295924,0.0,0.0,generic,generic
258,0f960723-5f75-4e64-946c-37d2bc4098da,d3d238ca-e750-4c2d-a21b-9b6794143385,1363,148,false,0.049251349762331344,0.5040000000000003,0.18637397603940972,0.00917916988051333,0.0,0.0,generic,generic
